# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.13156 -27.85831 18.58717 18.70645 18.80828 18.82555   nan 19.36854 20.56183 20.68606
53.07798 -27.85824 13.01518 13.80559 13.76747 13.70027 11.66267 12.20501 12.20284 12.16413
53.08548 -27.85817 15.89813 16.30646 16.27037 16.20683 15.27756 15.47324 15.49580 15.46361
53.08849 -27.85804 19.12734 19.23091 19.68499 20.55636   nan   nan   nan   nan
53.10890 -27.85775 18.71530 18.99204 19.00486 18.78918   nan 21.49471 18.83730 18.22850
53.09170 -27.85760 19.37992 19.25069 19.54663 19.90858   nan   nan   nan   nan
53.13777 -27.85757 16.68754 16.67580 16.70358 16.68744 15.51233 15.56128 15.55752 15.51263
53.09138 -27.85751 18.70718 18.67657 18.72927 18.73094 17.70498 17.37518 17.43311 17.22200
53.08923 -27.85735 15.90673 16.03116 16.04871 16.04237 13.13997 13.25089 13.27607 13.26472
53.07600 -27.85724 16.24168 17.57263 17.47046 17.30873 13.25596 14.26618 14.23797 14.17720
53.14629 -27.85710 18.74108 18.74942 18.72359 18.75619 17.84233 17.88231 17.58112 17.19845
53.14365 -27.85716 20.01451 19.50552 19.14862 18.90680 18.59184 19.08629 18.42840 17.75710
53.10773 -27.85703 19.02331 19.16720 19.33521 19.41353 17.16740 17.26597 17.04150 16.88816
53.07831 -27.85696 14.26735 15.51975 15.43250 15.30803 12.95640 13.79389 13.78113 13.73266
53.07936 -27.85692 18.69818 18.66143 18.70186 18.53551 16.79084 16.75931 16.81207 16.89290
53.13045 -27.85693 19.82587 19.92373 19.76210 19.69871 21.17175   nan 19.26043 18.46315
53.09521 -27.85686 13.17596 14.46051 14.37282 14.24915 12.92151 13.89512 13.86234 13.79822
53.11984 -27.85685 18.05210 18.55787 18.52082 18.42987   nan 19.55574 18.73388 18.44919
53.09003 -27.85687 20.65393 21.50116 21.86159 21.03423 16.64994 16.87781 17.14326 17.22381
53.14667 -27.85670 20.05706 20.28298 20.29568 20.20771 19.30972 18.96724 18.23089 18.49557
53.13786 -27.85669 13.72107 14.42481 14.40915 14.36438 12.69208 13.29366 13.27927 13.23307
53.12983 -27.85672 18.88305 20.18683 19.96387 19.68123 16.60647 17.04187 17.04157 16.92759
53.12725 -27.85635 17.37659 17.70873 17.70982 17.65380 16.38943 17.08054 16.88700 16.79429
53.08325 -27.85618 15.14359 15.91149 15.82498 15.70193 13.39147 13.90525 13.87910 13.82043
53.08170 -27.85613   nan   nan 21.57916 20.77126 16.66854 16.63007 16.66768 16.72530
53.11682 -27.85606 17.95295 18.56395 18.49422 18.35571 19.10478 21.01903   nan   nan
53.10759 -27.85575 16.93807 17.16244 17.16246 17.13100 16.04966 17.15397 17.00627 16.77707
53.13727 -27.85575 17.53848 17.75878 17.66282 17.56718 16.28241 16.30235 16.26443 16.20470
53.13535 -27.85564 18.94402 18.81191 18.85939 18.85767 17.18307 16.57333 16.81800 17.08471
53.10165 -27.85563 16.95779 16.96280 16.96375 16.92124 15.87342 15.82845 15.85615 15.80802
53.11275 -27.85551 16.15386 16.72691 16.66564 16.56152 15.17550 15.40270 15.45982 15.43320
53.10315 -27.85549 17.45403 17.93454 17.92861 17.87752 16.19702 16.65541 16.46266 16.34808
53.13159 -27.85551 18.70569 18.69108 18.65288 18.59112 17.28666 17.40120 17.63318 17.91279
53.09799 -27.85543 18.57672 18.49554 18.59410 18.58202 17.42994 16.72503 17.20617 17.68678
53.09369 -27.85541   nan 21.23734 19.84637 19.31782   nan   nan   nan   nan
53.09677 -27.85536 19.94963 19.78543 20.10912 20.17919 17.35243 17.33179 17.33187 17.11914
53.14989 -27.85515 12.41921 13.85760 13.79317 13.69337 11.91678 13.05300 13.03160 12.97503
53.09420 -27.85505 19.39753 18.70607 18.98657 19.10803 18.79841   nan   nan 19.87678
53.12952 -27.85501 19.49925 19.34577 19.51257 19.80264 17.23026 17.38119 17.38198 17.44953
53.07580 -27.85482 18.37532 18.45207 18.43890 18.42933 16.64268 16.72894 16.64320 16.65642
53.13809 -27.85475 18.18548 18.21461 18.18682 18.23429 16.87717 16.85107 16.79604 16.69559
53.12007 -27.85460   nan   nan   nan   nan   nan   nan   nan   nan
53.11440 -27.85465 18.82661 18.80405 18.68671 18.64117 19.17799   nan   nan   nan
53.11759 -27.85459 15.19487 15.31976 15.31792 15.28906 12.78495 12.88371 12.88876 12.86773
53.11417 -27.85454 16.41619 16.70269 16.67814 16.62519 16.11021 15.87354 15.80582 15.76813
53.09292 -27.85450 17.38354 17.57325 17.53557 17.45556 16.96289 16.84440 16.85807 16.67674
53.10238 -27.85444 19.22284 19.36847 19.09747 18.95526 17.09460 16.65726 16.73037 16.91704
53.09863 -27.85406 16.74014 17.25474 17.24859 17.19051 13.62707 14.03539 14.01051 13.95832
53.13237 -27.85401 18.78888 18.72235 18.72194 18.70434 17.04883 17.23471 17.32433 17.11230
